state_long,state,obesity,population
Alabama,AL,36.1,4949697
Alaska,AK,30.5,720763
Arizona,AZ,31.4,7640796
Arkansas,AR,37.4,3042017
California,CA,26.3,39664128
Colorado,CO,23.8,5961083
Connecticut,CT,29.1,3546588
Delaware,DE,34.4,998619
Florida,FL,27,22177997
Georgia,GA,33.1,10936299
Hawaii,HI,25,1401709
Idaho,ID,29.5,1896652
Illinois,IL,31.6,12518071
Indiana,IN,35.3,6842385
Iowa,IA,33.9,3174426
Kansas,KS,35.2,2919179
Kentucky,KY,36.5,4487233
Louisiana,LA,35.9,4616106
Maine,ME,31.7,1359677
Maryland,MD,32.3,6075314
Massachusetts,MA,25.2,6922107
Michigan,MI,36,9995212
Minnesota,MN,30.1,5739781
Mississippi,MS,40.8,2961536
Missouri,MO,34.8,6184843
Montana,MT,28.3,1093117
Nebraska,NE,34.1,1960790
Nevada,NV,30.6,3238601
New Hampshire,NH,31.8,1378449
New Jersey,NJ,27.3,8870685
New Mexico,NM,31.7,2109093
New York,NY,27.1,19223191
North Carolina,NC,34,10807491
North Dakota,ND,34.8,774008
Ohio,OH,34.8,11727377
Oklahoma,OK,36.8,4007179
Oregon,OR,29,4325290
Pennsylvania,PA,33.2,12805190
Rhode Island,RI,30,1062583
South Carolina,SC,35.4,5342388
South Dakota,SD,33,902542
Tennessee,TN,36.5,7001803
Texas,TX,34,30097526
Utah,UT,29.2,3363182
Vermont,VT,26.6,622882
Virginia,VA,31.9,8638218
Washington,WA,28.3,7887965
West Virginia,WV,39.7,1755715
Wisconsin,WI,34.2,5867518
Wyoming,WY,29.7,582233